AT5G02010,511,573,477,337,481,430
AT5G21940,12566,5568,2866,2231,4612,6013
AT3G35003.1,0,0,0,0,0,0
AT3G17950,699,664,419,586,780,772
AT5G25130,532,291,294,202,1227,915
AT3G17260.1,0,0,0,0,0,0
AT4G17050,1609,2511,2215,1082,1869,2229
AT4G21220,113,93,67,45,86,153
AT1G13830,344,683,530,189,666,522
AT4G20130,1857,2911,1946,1159,1959,2468
AT3G06400,1802,2371,2918,787,2686,2461
AT3G10450,511,431,361,197,627,750
AT2G03520,0,0,0,0,11,0
AT5G43010,1897,2668,1609,551,1982,2117
AT4G19390,1223,951,735,918,884,1057
AT4G13530,843,1492,1479,871,1522,1483
AT2G07450.1,0,0,0,0,0,0
AT1G50450,2384,2163,2417,1553,2556,1964
AT3G13180,1285,1797,1448,1166,1613,1907
AT4G27970,53,137,415,73,247,106
AT1G23970,439,291,201,165,495,531
AT1G35745.1,0,0,0,0,0,0
AT1G11475,745,929,523,555,839,984
AT5G07190,39,0,310,82,23,26
AT1G79540,346,268,436,79,355,521
AT1G74710,166,418,481,251,353,558
AT4G14620,93,95,0,0,68,208
AT4G14622,468,562,182,299,425,226
AT1G47578,5,33,0,0,12,11
AT3G47070,22614,16656,17631,10649,20010,18902
AT4G08072.1,0,0,0,0,0,0
AT3G14200,157,342,739,171,510,553
AT3G14205,1418,1562,2966,1195,2761,1962
AT3G10986,0,0,39,0,12,0
AT1G14470,61,65,70,0,39,38
AT3G10985,4768,4425,6599,1505,4654,2747
AT3G10980,1072,756,998,422,667,827
AT3G42353.1,0,0,0,0,0,0
AT3G33025,0,0,0,0,0,0
AT3G26855,0,0,0,0,0,0
AT3G26850,196,206,277,122,308,350
AT3G12585,0,0,0,0,0,0
AT3G12587,253,379,317,376,260,361
AT3G12580,471,754,1486,231,1648,484
AT1G79090,2080,2552,2608,808,2904,3059
AT2G05020.1,0,0,0,0,0,0
AT1G17540,7,0,0,0,0,31
AT2G31260,871,973,895,356,1080,837
AT2G28950,6079,7638,4540,3332,5924,6831
AT1G57100,0,0,0,0,0,0
AT3G44670,54,1849,4687,967,106,61
AT4G14080,0,0,0,0,0,0
AT3G58840,334,384,396,288,571,449
AT2G24250,146,222,39,73,145,131
AT3G44390.1,0,0,0,0,0,0
AT5G57080,101,154,134,45,132,137
AT2G24255,0,0,0,0,0,0
AT3G33085.1,0,0,0,0,0,0
AT3G53740,4723,3979,4345,3272,4303,3783
AT3G24670,551,514,689,244,339,482
AT3G48570,716,1288,737,421,933,1085
AT1G12720.1,0,1,0,0,0,0
AT4G20090,64,72,146,20,62,88
AT4G15975,22,230,424,27,88,8
AT1G21530,0,14,0,0,0,11
AT1G34570,553,1096,945,336,1096,707
AT4G15970,0,0,0,0,0,0
AT3G52290,403,691,515,204,541,517
AT2G16970,10,15,40,0,116,107
AT3G02870,717,1519,1234,424,1555,1245
AT1G02970,161,204,130,74,82,328
AT3G02875,198,481,619,203,462,329
AT4G10250,0,11,0,0,0,0
AT3G55740,978,1191,751,273,874,1113
AT3G58590,268,287,265,36,192,247
AT2G17620,31,104,84,74,149,161
AT3G62640,4,0,0,0,0,0
AT5G22555,0,0,23,8,0,0
AT1G04720,0,0,0,0,0,0
AT3G32022.1,0,0,0,0,0,0
AT4G24300,0,0,0,0,0,0
AT5G63780,5548,4459,4825,4259,5221,4432
AT1G60420,1299,1191,1706,501,2150,1752
AT5G37490,3,12,13,0,75,10
AT1G08600,925,1266,1940,607,1696,1558
AT1G15200,1727,2040,2065,2187,2167,2474
AT3G04880,3231,3035,1870,1239,2574,3011
AT3G33091.1,0,0,0,0,0,0
AT5G36720,0,0,0,0,0,0
AT5G36722,0,0,0,0,0,0
ATCG00740,11419,4417,12279,20855,7423,2257
AT1G14150,5005,6522,5314,2669,4903,4517
